designer,category,descript,size,color,condition,original_price,sold_price
Post Archive Faction,Post Archive Faction Bombers,FFFPOSTALSERVICE BOMBER,Men's US L / EU 52-54 / 3,Black,Gently Used,,$400 (Sold Price)
CMMAWEAR,CMMAWEAR Casual Pants,Cmmawear Lotus Pants,Men's US 34 / EU 50,Black,Gently Used,$455,$240 (Sold Price)
Japanese Brand,Japanese Brand Bombers,FFFPostalservice Ma-1 Bomber Size 2,Men's US M / EU 48-50 / 2,,,,
